My prediction, official prediction, actual demand
714105.8266162872, 885923, 931012.0
701541.3105487823, 911741, 915093.9999999999
778560.0304603577, 948477, 943297.0000000001
765968.39427948, 883787, 878940.0
753309.6551895142, 858165, 862048.0
740625.2682209015, 866217, 848263.0
727956.5334320068, 867001, 851200.0
715344.4409370422, 824259, 825073.0
702828.586101532, 810965, 791139.0
779649.2516994476, 872971, 844737.0000000001
767112.6306056976, 853385, 846338.0
754514.6405696869, 822970, 816772.0
741896.0392475128, 809733, 801177.0
729297.3518371582, 792952, 807613.0
716758.7161064148, 765713, 786280.0000000001
704318.9525604248, 787657, 787700.0
780749.2434978485, 874357, 854826.0
768298.3994483948, 876937, 856683.0
755791.6104793549, 895792, 859431.0
743268.7819004059, 937327, 893159.0000000001
730769.3541049957, 961512, 923476.0
703812.1938705444, 914556, 860980.0
691295.4092025757, 858206, 822908.0
768130.3322315216, 927818, 896915.0
755481.8987846375, 870074, 861134.0
742778.6827087402, 821748, 812856.0
730062.6814365387, 783846, 796659.0
717375.5049705505, 793262, 815712.0000000001
704758.220911026, 788945, 800095.0
692250.5795955658, 804910, 796725.0
769187.0093345642, 870373, 872574.0000000001
756548.261642456, 859531, 853678.0000000001
743860.7752323151, 886738, 895690.0
731166.0826206207, 959590, 963042.0000000001
718505.5613517761, 1048073, 1053335.0
705919.6591377258, 1031290, 1054910.0
693447.1964836121, 1012449, 1020082.0
770296.8418598175, 1119102, 1078599.0
757699.2392539978, 1140789, 1100776.0
745058.399438858, 1098580, 1095694.0
732415.3900146484, 1077741, 1026954.0
719810.5037212372, 1050049, 1011928.0
707283.5683822632, 920559, 981659.0
694872.7071285248, 943854, 946685.0
771445.7273483276, 1029083, 1019607.0
758920.3417301178, 1023222, 985418.0
746356.7554950714, 1025841, 962845.0
733794.9514389038, 979995, 945746.0
721274.5249271393, 932477, 912275.0
708834.2189788818, 845247, 820709.0
696511.1494064331, 800329, 774036.0
772618.9434528351, 865532, 846867.0
746093.6903953552, 854356, 835755.0
733391.1716938019, 840264, 835428.0
720693.9995288849, 866522, 868807.0
708043.9388751984, 941254, 919693.0000000001
695481.127500534, 1008477, 998556.0
683044.4633960724, 1082547, 1060590.0
759782.6838493347, 1055874, 997745.0
747112.3218536377, 1011792, 904085.0
734411.9727611542, 893384, 838452.0000000001
721722.8591442108, 851226, 785562.0
709086.3585472107, 829682, 779811.0
696542.0663356781, 760776, 750836.0
684128.2606124878, 734867, 731747.0000000001
760887.4797821045, 803336, 817519.0000000001
748244.4703578949, 825168, 831873.0
735576.742887497, 847339, 851548.0
722925.4424571991, 831934, 854367.0
710330.7843208313, 816641, 866805.0000000001
697831.8989276886, 753217, 798591.0
685466.2895202637, 739026, 754294.0
762060.2309703827, 789461, 818022.0
749475.6460189819, 786602, 827078.0
736871.2246417999, 815439, 824584.0
724286.949634552, 820588, 839415.0
711762.4163627625, 784530, 803901.0
699335.6704711914, 755665, 762330.9999999999
687043.5178279877, 775902, 774068.0
763285.7501506805, 902364, 890688.0
750790.0416851044, 921753, 905088.9999999999
738278.4485816956, 956623, 940365.0
711513.8411521912, 963214, 949612.0
698913.3715629578, 935613, 920367.9999999999
686418.0505275726, 843370, 833431.0
674065.6137466431, 781946, 787182.0000000001
750523.1022834778, 838806, 831650.9999999999
737836.7781639099, 819709, 811000.0
725139.7609710693, 770897, 785321.0
712473.4282493591, 726229, 745272.0
699878.1502246857, 706642, 728580.0
687393.3672904968, 663991, 687273.0
675056.0402870178, 650591, 665447.0
751611.7811203003, 791407, 777134.0
738943.3562755585, 816564, 829595.0
726269.8948383331, 829109, 840171.0
713631.9994926453, 850614, 848989.0
701069.575548172, 856488, 856794.0
688621.0560798645, 777379, 772778.0
676322.9370117188, 730281, 725558.9999999999
752795.3803539276, 776210, 771274.9999999999
740176.1591434479, 771410, 758340.0000000001
727556.2405586243, 761852, 755609.0
714975.7623672485, 733762, 724171.0
702473.5450744629, 696963, 706579.0
690087.1694087982, 644516, 654580.0
677852.4339199066, 608206, 623303.0
754058.5577487946, 660188, 647754.0
741518.9146995544, 674770, 659164.0
728982.0611476898, 667090, 668758.0
716487.2050285339, 668284, 684241.0
704072.1595287323, 670462, 682093.0
691773.6530303955, 633314, 634163.0
665077.3882865906, 584755, 647100.0
741133.576631546, 651431, 686411.0000000001
728444.6954727173, 650433, 693607.0000000001
715763.4079456329, 695680, 705961.0
703130.7816505432, 725224, 719753.0
690586.8768692017, 680585, 690259.0
678170.3591346741, 633881, 618149.0
665917.181968689, 614513, 609227.0
742169.7974205017, 673331, 680828.0
729485.3329658508, 671456, 695306.0
716814.3510818481, 683027, 682834.9999999999
704197.3769664764, 688590, 685205.0
691673.9284992218, 683434, 693742.0
679281.6638946533, 617906, 630127.0
667056.2267303467, 612761, 611665.0
743329.8408985138, 690366, 674763.0
730680.787563324, 691088, 686440.0
718049.7884750366, 679146, 678571.0
705476.8264293671, 668952, 684541.0
693000.4119873047, 677151, 687657.0
680657.5059890747, 620405, 642997.0
668482.8221797943, 617412, 625982.0
744598.9072322845, 681167, 687618.0
732015.5620574951, 677761, 693149.0
719453.9129734039, 682084, 688830.0
706952.7804851532, 610001, 631677.0
694549.822807312, 622574, 636590.0
682280.9159755707, 634930, 641001.0
670180.0763607025, 615928, 635631.0
745959.7945213318, 696602, 704379.0
719243.460893631, 695187, 713666.0
706590.2233123779, 707104, 710929.0
694004.1661262512, 709507, 706411.0
681524.5747566223, 691860, 712679.0
669189.1849040985, 651448, 672457.0
657033.097743988, 642280, 649680.0
732904.4044017792, 716511, 719081.0
720220.3273773193, 706863, 710800.0
707568.7944889069, 710691, 710428.0
694990.1759624481, 698829, 710699.0000000001
682523.1373310089, 704271, 726306.0
670204.6394348145, 657983, 686200.0
658069.0860748291, 666232, 664551.0
734035.6230735779, 712290, 708250.0
721377.7363300323, 723316, 722365.0
708757.2753429413, 710607, 722705.0
696213.7579917908, 714010, 717434.0
683785.1524353027, 698430, 713341.0
671507.4121952057, 648365, 673589.0
659414.2436981201, 636300, 661325.0
735302.8297424316, 700303, 710090.0
722701.4303207397, 708721, 709004.0
710140.8660411835, 710805, 715896.0000000001
697659.7249507904, 703015, 693724.0
685295.045375824, 632593, 630411.0
673081.773519516, 621648, 625204.0
661052.9959201813, 614633, 638110.0
736688.8225078583, 709654, 702470.9999999999
724173.2776165009, 721722, 690294.0
711700.8149623871, 704688, 693702.0
699308.705329895, 670784, 667927.0
