"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"1/1/2019, Pacific Time",646739,647044,465625,-148563
CAL,"1/2/2019, Pacific Time",713041,731249,488700,-195461
CAL,"1/3/2019, Pacific Time",723967,721525,484096,-216036
CAL,"1/4/2019, Pacific Time",715678,709915,477365,-218420
CAL,"1/5/2019, Pacific Time",706611,675485,451040,-226354
CAL,"1/6/2019, Pacific Time",662560,658121,431436,-207184
CAL,"1/7/2019, Pacific Time",686688,707202,473916,-213216
CAL,"1/8/2019, Pacific Time",705490,719837,479639,-199262
CAL,"1/9/2019, Pacific Time",705317,712909,467484,-202251
CAL,"1/10/2019, Pacific Time",691203,702771,470206,-205328
CAL,"1/11/2019, Pacific Time",705145,701529,461764,-220715
CAL,"1/12/2019, Pacific Time",652806,646134,417048,-207101
CAL,"1/13/2019, Pacific Time",616144,632209,437961,-164501
CAL,"1/14/2019, Pacific Time",728042,711908,495335,-211362
CAL,"1/15/2019, Pacific Time",731915,723637,503197,-202219
CAL,"1/16/2019, Pacific Time",714378,726258,494539,-199927
CAL,"1/17/2019, Pacific Time",701971,722553,481610,-211886
CAL,"1/18/2019, Pacific Time",648571,694949,454647,-205785
CAL,"1/19/2019, Pacific Time",599108,633871,406835,-192246
CAL,"1/20/2019, Pacific Time",582671,620862,407407,-181840
CAL,"1/21/2019, Pacific Time",633313,677001,483680,-168599
CAL,"1/22/2019, Pacific Time",682588,695037,484013,-190457
CAL,"1/23/2019, Pacific Time",679104,698614,490427,-188490
CAL,"1/24/2019, Pacific Time",672591,689170,496802,-173921
CAL,"1/25/2019, Pacific Time",667756,683857,472106,-185373
CAL,"1/26/2019, Pacific Time",601691,629981,431687,-171450
CAL,"1/27/2019, Pacific Time",576606,603014,407146,-169354
CAL,"1/28/2019, Pacific Time",674569,675920,468050,-188274
CAL,"1/29/2019, Pacific Time",702591,683693,475793,-177949
CAL,"1/30/2019, Pacific Time",699260,687209,480041,-170905
CAL,"1/31/2019, Pacific Time",710706,697814,483714,-178508
CAL,"2/1/2019, Pacific Time",691511,689077,489941,-168392
CAL,"2/2/2019, Pacific Time",674100,656455,470021,-156899
CAL,"2/3/2019, Pacific Time",640166,630241,464659,-147889
CAL,"2/4/2019, Pacific Time",709839,716645,552108,-130191
CAL,"2/5/2019, Pacific Time",665342,740766,611191,-82562
CAL,"2/6/2019, Pacific Time",647694,734460,621285,-73904
CAL,"2/7/2019, Pacific Time",669891,729646,575426,-123965
CAL,"2/8/2019, Pacific Time",702781,725192,541549,-146503
CAL,"2/9/2019, Pacific Time",641362,657135,479395,-153819
CAL,"2/10/2019, Pacific Time",602592,638243,497672,-124808
