"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"1/1/2018, Pacific Time",637498,641877,446987,-187860
CAL,"1/2/2018, Pacific Time",705523,717605,503977,-201543
CAL,"1/3/2018, Pacific Time",727325,717287,504323,-223012
CAL,"1/4/2018, Pacific Time",714064,716871,504463,-209607
CAL,"1/5/2018, Pacific Time",711790,702097,483909,-213884
CAL,"1/6/2018, Pacific Time",668175,661240,448217,-219973
CAL,"1/7/2018, Pacific Time",654844,637784,447589,-207267
CAL,"1/8/2018, Pacific Time",732982,726843,501416,-231409
CAL,"1/9/2018, Pacific Time",729196,727812,487732,-241311
CAL,"1/10/2018, Pacific Time",723774,721408,493889,-235341
CAL,"1/11/2018, Pacific Time",713497,715247,474133,-232660
CAL,"1/12/2018, Pacific Time",713313,699912,464275,-227118
CAL,"1/13/2018, Pacific Time",666793,647977,453899,-213757
CAL,"1/14/2018, Pacific Time",641991,624044,428378,-213625
CAL,"1/15/2018, Pacific Time",704279,689670,474525,-229763
CAL,"1/16/2018, Pacific Time",713136,713510,487213,-225928
CAL,"1/17/2018, Pacific Time",715797,721805,484921,-230882
CAL,"1/18/2018, Pacific Time",718450,712216,488215,-230244
CAL,"1/19/2018, Pacific Time",713478,724336,485182,-228309
CAL,"1/20/2018, Pacific Time",669292,677495,457295,-212008
CAL,"1/21/2018, Pacific Time",664418,668482,437247,-227181
CAL,"1/22/2018, Pacific Time",728160,732845,503437,-224735
CAL,"1/23/2018, Pacific Time",722769,732501,510950,-211831
CAL,"1/24/2018, Pacific Time",728629,721350,499726,-228910
CAL,"1/25/2018, Pacific Time",732834,728383,501677,-230622
CAL,"1/26/2018, Pacific Time",724926,714969,481622,-234778
CAL,"1/27/2018, Pacific Time",665153,660405,431390,-231396
CAL,"1/28/2018, Pacific Time",646815,640443,432872,-212835
CAL,"1/29/2018, Pacific Time",726754,715775,493118,-233650
CAL,"1/30/2018, Pacific Time",720232,718496,480342,-239901
CAL,"1/31/2018, Pacific Time",717357,717967,492809,-224558
CAL,"2/1/2018, Pacific Time",712974,716550,489981,-223002
CAL,"2/2/2018, Pacific Time",714647,704253,474749,-239908
CAL,"2/3/2018, Pacific Time",649442,638228,415474,-233980
CAL,"2/4/2018, Pacific Time",634140,622843,401417,-232736
CAL,"2/5/2018, Pacific Time",691601,698786,453136,-238475
CAL,"2/6/2018, Pacific Time",695067,702167,475635,-219447
CAL,"2/7/2018, Pacific Time",713299,698077,479667,-30496
CAL,"2/8/2018, Pacific Time",713174,698154,474503,-238682
CAL,"2/9/2018, Pacific Time",695789,695426,469633,-228962
CAL,"2/10/2018, Pacific Time",642611,629502,434436,-208190
CAL,"2/11/2018, Pacific Time",626160,616479,405565,-220612
CAL,"2/12/2018, Pacific Time",697653,691292,480083,-217563
CAL,"2/13/2018, Pacific Time",710021,700982,480668,-229323
CAL,"2/14/2018, Pacific Time",719462,707155,482045,-237386
CAL,"2/15/2018, Pacific Time",708830,703798,498979,-209820
CAL,"2/16/2018, Pacific Time",697027,692075,487349,-209648
CAL,"2/17/2018, Pacific Time",632086,640355,431985,-200098
CAL,"2/18/2018, Pacific Time",606381,628632,435167,-171203
CAL,"2/19/2018, Pacific Time",692213,688348,515152,-177045
CAL,"2/20/2018, Pacific Time",750478,129259,557197,-193255
CAL,"2/21/2018, Pacific Time",744559,738611,531338,-215563
CAL,"2/22/2018, Pacific Time",756712,731833,550962,-205748
CAL,"2/23/2018, Pacific Time",743326,718259,529093,-214216
CAL,"2/24/2018, Pacific Time",691509,665898,468331,-223155
CAL,"2/25/2018, Pacific Time",649841,635338,439421,-210392
CAL,"2/26/2018, Pacific Time",724149,720174,500654,-223441
CAL,"2/27/2018, Pacific Time",731762,730256,504203,-227528
CAL,"2/28/2018, Pacific Time",730002,728927,526604,-203368
CAL,"3/1/2018, Pacific Time",723101,727550,492230,-231570
CAL,"3/2/2018, Pacific Time",719629,719991,486395,-233312
CAL,"3/3/2018, Pacific Time",661886,662590,459310,-202272
CAL,"3/4/2018, Pacific Time",634229,643082,468004,-164533
CAL,"3/5/2018, Pacific Time",700194,693671,494171,-206001
CAL,"3/6/2018, Pacific Time",696122,686600,498492,-197616
CAL,"3/7/2018, Pacific Time",698120,697791,476037,-222089
CAL,"3/8/2018, Pacific Time",693118,686264,496640,-196483
CAL,"3/9/2018, Pacific Time",686731,679803,478162,-208782
CAL,"3/10/2018, Pacific Time",652710,631407,407149,-251568
CAL,"3/11/2018, Pacific Time",614410,105086,377018,-36325
CAL,"3/12/2018, Pacific Time",695584,686951,472273,-223305
CAL,"3/13/2018, Pacific Time",711560,700211,478398,-230019
CAL,"3/14/2018, Pacific Time",705944,707118,479582,-226353
CAL,"3/15/2018, Pacific Time",707163,700313,505814,-201348
CAL,"3/16/2018, Pacific Time",709106,698342,484335,-224772
CAL,"3/17/2018, Pacific Time",648795,646992,432358,-216437
CAL,"3/18/2018, Pacific Time",628992,614971,429859,-199137
CAL,"3/19/2018, Pacific Time",687001,681922,489177,-197829
CAL,"3/20/2018, Pacific Time",708287,700630,492903,-215388
CAL,"3/21/2018, Pacific Time",712160,702558,494918,-217240
CAL,"3/22/2018, Pacific Time",709537,706475,502192,-207348
CAL,"3/23/2018, Pacific Time",682142,687449,506786,-175357
CAL,"3/24/2018, Pacific Time",622926,629706,462143,-160793
CAL,"3/25/2018, Pacific Time",607259,609712,472891,-134504
CAL,"3/26/2018, Pacific Time",686120,678016,513896,-173031
CAL,"3/27/2018, Pacific Time",691237,688645,500390,-192798
CAL,"3/28/2018, Pacific Time",694228,695476,504551,-189693
CAL,"3/29/2018, Pacific Time",697651,701630,515954,-181727
CAL,"3/30/2018, Pacific Time",695021,695442,498530,-196509
CAL,"3/31/2018, Pacific Time",633824,641187,458610,-175212
CAL,"4/1/2018, Pacific Time",591534,600028,454428,-137105
CAL,"4/2/2018, Pacific Time",679335,673181,508685,-170642
CAL,"4/3/2018, Pacific Time",688081,680038,517855,-170225
CAL,"4/4/2018, Pacific Time",700466,688232,527623,-172835
CAL,"4/5/2018, Pacific Time",698009,694231,536204,-166307
CAL,"4/6/2018, Pacific Time",697331,698733,515089,-185686
CAL,"4/7/2018, Pacific Time",638126,636980,493119,-148991
CAL,"4/8/2018, Pacific Time",615547,594006,483479,-134039
CAL,"4/9/2018, Pacific Time",730201,708875,573800,-157717
CAL,"4/10/2018, Pacific Time",744902,735379,584177,-160112
CAL,"4/11/2018, Pacific Time",718286,708143,569112,-148579
CAL,"4/12/2018, Pacific Time",685626,672995,519419,-165627
CAL,"4/13/2018, Pacific Time",684313,665998,507932,-175718
CAL,"4/14/2018, Pacific Time",642184,619696,491680,-149849
CAL,"4/15/2018, Pacific Time",606419,594153,485066,-120992
CAL,"4/16/2018, Pacific Time",675782,670929,500078,-175362
CAL,"4/17/2018, Pacific Time",671410,665746,484975,-185783
CAL,"4/18/2018, Pacific Time",682528,670883,505895,-175979
CAL,"4/19/2018, Pacific Time",677059,661719,510901,-165628
CAL,"4/20/2018, Pacific Time",670245,667271,520587,-148991
CAL,"4/21/2018, Pacific Time",638374,633682,463238,-174558
CAL,"4/22/2018, Pacific Time",635955,622432,487143,-148156
CAL,"4/23/2018, Pacific Time",718382,721646,548791,-168961
CAL,"4/24/2018, Pacific Time",722318,727590,562609,-159094
CAL,"4/25/2018, Pacific Time",719155,711580,564069,-154423
CAL,"4/26/2018, Pacific Time",708093,699682,554298,-153194
CAL,"4/27/2018, Pacific Time",690887,678573,544572,-145649
CAL,"4/28/2018, Pacific Time",628548,619282,476911,-150963
CAL,"4/29/2018, Pacific Time",614929,586008,461258,-153412
CAL,"4/30/2018, Pacific Time",690437,670284,502404,-28517
CAL,"5/1/2018, Pacific Time",699281,685080,494714,-31595
CAL,"5/2/2018, Pacific Time",700495,682790,521166,-30356
CAL,"5/3/2018, Pacific Time",702083,696772,525319,-176080
CAL,"5/4/2018, Pacific Time",746168,721970,549060,-196423
CAL,"5/5/2018, Pacific Time",706476,686312,511188,-194610
CAL,"5/6/2018, Pacific Time",668056,659863,476940,-190487
CAL,"5/7/2018, Pacific Time",742523,739390,561585,-180278
CAL,"5/8/2018, Pacific Time",761279,753486,570011,-190597
CAL,"5/9/2018, Pacific Time",765102,754781,564658,-199782
CAL,"5/10/2018, Pacific Time",758356,742519,561586,-196770
CAL,"5/11/2018, Pacific Time",727488,710834,543237,-184566
CAL,"5/12/2018, Pacific Time",670554,641052,496161,-174404
CAL,"5/13/2018, Pacific Time",626041,603318,479524,-146516
CAL,"5/14/2018, Pacific Time",698910,696927,518803,-179410
CAL,"5/15/2018, Pacific Time",707928,696627,528651,-178584
CAL,"5/16/2018, Pacific Time",716414,694202,526146,-189582
CAL,"5/17/2018, Pacific Time",715944,694757,526588,-188772
CAL,"5/18/2018, Pacific Time",715601,697042,539872,-175052
CAL,"5/19/2018, Pacific Time",666539,644668,512141,-153721
CAL,"5/20/2018, Pacific Time",641431,621187,482012,-158145
CAL,"5/21/2018, Pacific Time",708001,700426,525347,-181985
CAL,"5/22/2018, Pacific Time",719430,708868,525988,-192748
CAL,"5/23/2018, Pacific Time",724360,702259,527166,-196528
CAL,"5/24/2018, Pacific Time",729815,709211,533410,-195725
CAL,"5/25/2018, Pacific Time",711551,693422,513078,-197777
CAL,"5/26/2018, Pacific Time",640627,630605,485649,-154329
CAL,"5/27/2018, Pacific Time",624500,626343,466280,-157538
