"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"4/7/2020, Pacific Time",625123,624710,399197,-174933
CAL,"4/8/2020, Pacific Time",622911,630000,378721,-184036
CAL,"4/9/2020, Pacific Time",638591,626508,381886,-192627
CAL,"4/10/2020, Pacific Time",607425,607111,370518,-177451
CAL,"4/11/2020, Pacific Time",549074,545192,364389,-128436
CAL,"4/12/2020, Pacific Time",545166,530437,381108,-107150
CAL,"4/13/2020, Pacific Time",584773,603109,434691,-89542
CAL,"4/14/2020, Pacific Time",583723,608949,397282,-126850
CAL,"4/15/2020, Pacific Time",591270,606067,397813,-136872
CAL,"4/16/2020, Pacific Time",589328,597082,399553,-128843
CAL,"4/17/2020, Pacific Time",594618,584482,386200,-135962
CAL,"4/18/2020, Pacific Time",564626,541951,362117,-128441
CAL,"4/19/2020, Pacific Time",536999,531386,358791,-108941
CAL,"4/20/2020, Pacific Time",595692,608866,393558,-126257
CAL,"4/21/2020, Pacific Time",592834,605166,395253,-125881
CAL,"4/22/2020, Pacific Time",622561,630599,404790,-146284
CAL,"4/23/2020, Pacific Time",660344,668759,436256,-141889
CAL,"4/24/2020, Pacific Time",703854,711059,462699,-152391
CAL,"4/25/2020, Pacific Time",684767,683936,448431,-152959
CAL,"4/26/2020, Pacific Time",633792,641130,432889,-130247
CAL,"4/27/2020, Pacific Time",674771,697768,464952,-134566
CAL,"4/28/2020, Pacific Time",721440,723238,466675,-173664
CAL,"4/29/2020, Pacific Time",706600,694166,443425,-174270
CAL,"4/30/2020, Pacific Time",685307,697511,449265,-149362
CAL,"5/1/2020, Pacific Time",650619,671039,437922,-146011
CAL,"5/2/2020, Pacific Time",616930,601749,417291,-119682
CAL,"5/3/2020, Pacific Time",585668,586278,380179,-128680
CAL,"5/4/2020, Pacific Time",662876,662557,423184,-154145
CAL,"5/5/2020, Pacific Time",709445,694330,443256,-181747
CAL,"5/6/2020, Pacific Time",740129,721175,461137,-199937
CAL,"5/7/2020, Pacific Time",765016,771968,447953,-229824
CAL,"5/8/2020, Pacific Time",762874,774252,439239,-232031
CAL,"5/9/2020, Pacific Time",688240,711474,409185,-204109
CAL,"5/10/2020, Pacific Time",629861,646420,390164,-165657
CAL,"5/11/2020, Pacific Time",667611,659865,417356,-172555
CAL,"5/12/2020, Pacific Time",655282,617848,398236,-176203
CAL,"5/13/2020, Pacific Time",651119,635419,392286,-182733
CAL,"5/14/2020, Pacific Time",652875,649025,391858,-184215
CAL,"5/15/2020, Pacific Time",660462,652737,412095,-171112
CAL,"5/16/2020, Pacific Time",643112,636647,373018,-186112
CAL,"5/17/2020, Pacific Time",620205,624580,369901,-169635
CAL,"5/18/2020, Pacific Time",644672,654087,387976,-168736
CAL,"5/19/2020, Pacific Time",630395,632638,399341,-153506
CAL,"5/20/2020, Pacific Time",636334,628851,382875,-177511
CAL,"5/21/2020, Pacific Time",673116,656226,384536,-208612
CAL,"5/22/2020, Pacific Time",661076,655287,390855,-189066
CAL,"5/23/2020, Pacific Time",610529,619144,358193,-167597
CAL,"5/24/2020, Pacific Time",620794,646787,376755,-168262
CAL,"5/25/2020, Pacific Time",720260,737752,422075,-222151
CAL,"5/26/2020, Pacific Time",848277,851399,522758,-229913
CAL,"5/27/2020, Pacific Time",876212,871582,567408,-213902
CAL,"5/28/2020, Pacific Time",839247,876428,548644,-196137
CAL,"5/29/2020, Pacific Time",762294,780411,449657,-215633
CAL,"5/30/2020, Pacific Time",669019,665018,410950,-177422
CAL,"5/31/2020, Pacific Time",643834,644059,389580,-177043
CAL,"6/1/2020, Pacific Time",739634,743741,454028,-196734
CAL,"6/2/2020, Pacific Time",809401,835461,515064,-199419
CAL,"6/3/2020, Pacific Time",901044,890094,615201,-186049
CAL,"6/4/2020, Pacific Time",864901,868712,591162,-177746
