"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"4/7/2016, Pacific Time",745153,726102,527919,-217241
CAL,"4/8/2016, Pacific Time",726088,716357,512404,-213695
CAL,"4/9/2016, Pacific Time",668185,653266,452495,-215703
CAL,"4/10/2016, Pacific Time",643550,639515,443965,-199596
CAL,"4/11/2016, Pacific Time",707659,707389,489959,-217713
CAL,"4/12/2016, Pacific Time",715222,717383,514254,-200978
CAL,"4/13/2016, Pacific Time",712029,712379,523228,-188804
CAL,"4/14/2016, Pacific Time",712058,716884,527340,-184721
CAL,"4/15/2016, Pacific Time",706080,701392,510345,-195773
CAL,"4/16/2016, Pacific Time",673154,663399,475744,-197444
CAL,"4/17/2016, Pacific Time",670410,651524,461419,-209022
CAL,"4/18/2016, Pacific Time",777539,752446,566636,-210937
CAL,"4/19/2016, Pacific Time",792281,773532,580071,-212237
CAL,"4/20/2016, Pacific Time",780161,771549,564193,-215921
CAL,"4/21/2016, Pacific Time",767515,765265,547729,-219793
CAL,"4/22/2016, Pacific Time",746432,734770,535895,-210551
CAL,"4/23/2016, Pacific Time",676930,666964,470313,-206622
CAL,"4/24/2016, Pacific Time",650544,641724,451296,-199258
CAL,"4/25/2016, Pacific Time",689455,700882,494789,-200327
CAL,"4/26/2016, Pacific Time",714006,713862,516120,-197899
CAL,"4/27/2016, Pacific Time",718645,720239,524636,-194023
CAL,"4/28/2016, Pacific Time",722430,726169,522186,-200263
CAL,"4/29/2016, Pacific Time",716717,714756,523799,-192939
CAL,"4/30/2016, Pacific Time",665900,663598,474147,-191780
CAL,"5/1/2016, Pacific Time",659632,662374,450936,-208711
CAL,"5/2/2016, Pacific Time",749362,746161,538720,-210649
CAL,"5/3/2016, Pacific Time",771174,755107,562998,-208189
CAL,"5/4/2016, Pacific Time",755003,747471,559174,-195836
CAL,"5/5/2016, Pacific Time",737349,733260,536707,-200650
CAL,"5/6/2016, Pacific Time",719191,726153,506539,-212675
CAL,"5/7/2016, Pacific Time",662566,667134,456756,-205654
CAL,"5/8/2016, Pacific Time",641254,640739,438626,-202652
CAL,"5/9/2016, Pacific Time",730197,728021,510357,-219876
CAL,"5/10/2016, Pacific Time",740332,744731,516135,-224216
CAL,"5/11/2016, Pacific Time",766583,775948,537242,-229351
CAL,"5/12/2016, Pacific Time",792185,808416,562102,-230093
CAL,"5/13/2016, Pacific Time",775034,775141,564943,-210103
CAL,"5/14/2016, Pacific Time",697338,696766,510918,-186427
CAL,"5/15/2016, Pacific Time",668926,654061,496441,-172495
CAL,"5/16/2016, Pacific Time",753101,748609,532560,-220542
CAL,"5/17/2016, Pacific Time",793007,784103,552856,-240162
CAL,"5/18/2016, Pacific Time",815120,815830,570793,-244346
CAL,"5/19/2016, Pacific Time",790456,783566,564553,-225919
CAL,"5/20/2016, Pacific Time",737278,737589,534422,-202862
CAL,"5/21/2016, Pacific Time",674379,661930,495532,-178857
CAL,"5/22/2016, Pacific Time",652189,639971,467586,-184616
CAL,"5/23/2016, Pacific Time",723968,722974,515916,-208058
CAL,"5/24/2016, Pacific Time",730586,733628,512355,-221444
CAL,"5/25/2016, Pacific Time",732615,734095,520011,-212610
CAL,"5/26/2016, Pacific Time",751480,747453,531526,-219960
CAL,"5/27/2016, Pacific Time",758834,767922,526673,-232169
CAL,"5/28/2016, Pacific Time",722005,729913,501261,-220756
CAL,"5/29/2016, Pacific Time",691973,703679,494001,-197998
CAL,"5/30/2016, Pacific Time",728061,787842,524964,-203112
CAL,"5/31/2016, Pacific Time",835864,865331,612938,-222942
CAL,"6/1/2016, Pacific Time",857065,861467,632676,-224401
CAL,"6/2/2016, Pacific Time",889437,899764,653318,-236126
CAL,"6/3/2016, Pacific Time",935472,941394,708453,-227027
CAL,"6/4/2016, Pacific Time",865709,878288,649948,-215772
CAL,"6/5/2016, Pacific Time",797754,828339,628166,-169625
CAL,"6/6/2016, Pacific Time",842817,891155,678196,-164656
CAL,"6/7/2016, Pacific Time",844027,862849,664005,-180035
CAL,"6/8/2016, Pacific Time",837044,860463,624312,-212739
CAL,"6/9/2016, Pacific Time",814280,835630,604174,-210124
CAL,"6/10/2016, Pacific Time",802419,814783,580363,-222080
CAL,"6/11/2016, Pacific Time",748117,736775,520473,-227652
CAL,"6/12/2016, Pacific Time",723150,710534,512246,-210912
CAL,"6/13/2016, Pacific Time",790664,789565,579639,-211034
CAL,"6/14/2016, Pacific Time",777555,786347,579762,-197795
CAL,"6/15/2016, Pacific Time",766236,770602,570128,-196115
CAL,"6/16/2016, Pacific Time",779678,760247,556737,-222948
CAL,"6/17/2016, Pacific Time",823612,806762,598412,-225209
CAL,"6/18/2016, Pacific Time",806766,803703,590005,-216776
CAL,"6/19/2016, Pacific Time",871455,904130,659795,-211673
CAL,"6/20/2016, Pacific Time",1034763,1025131,837421,-197360
CAL,"6/21/2016, Pacific Time",999709,1044041,795264,-204462
CAL,"6/22/2016, Pacific Time",958378,1002773,770314,-188085
CAL,"6/23/2016, Pacific Time",925535,924874,714449,-211097
CAL,"6/24/2016, Pacific Time",898678,899920,672636,-226059
CAL,"6/25/2016, Pacific Time",866982,894382,674537,-192461
CAL,"6/26/2016, Pacific Time",884455,888963,703733,-180741
CAL,"6/27/2016, Pacific Time",1017778,1013827,808366,-209424
CAL,"6/28/2016, Pacific Time",1032236,1050687,809822,-222424
CAL,"6/29/2016, Pacific Time",1001951,1024446,774605,-227359
CAL,"6/30/2016, Pacific Time",979743,996893,733530,-246222
CAL,"7/1/2016, Pacific Time",957679,941655,695697,-261997
CAL,"7/2/2016, Pacific Time",854362,831634,604085,-250286
CAL,"7/3/2016, Pacific Time",799789,796668,570961,-228845
CAL,"7/4/2016, Pacific Time",786789,808261,562752,-224050
CAL,"7/5/2016, Pacific Time",857765,872570,635165,-222615
CAL,"7/6/2016, Pacific Time",859505,869135,635711,-223806
CAL,"7/7/2016, Pacific Time",872863,857607,644334,-228539
CAL,"7/8/2016, Pacific Time",886544,864319,647499,-239057
CAL,"7/9/2016, Pacific Time",844976,822077,603302,-241691
CAL,"7/10/2016, Pacific Time",803595,783976,579395,-224218
CAL,"7/11/2016, Pacific Time",889833,865680,645433,-244419
CAL,"7/12/2016, Pacific Time",896377,892486,676004,-220379
CAL,"7/13/2016, Pacific Time",947303,934276,712519,-234802
CAL,"7/14/2016, Pacific Time",975358,967247,742740,-232635
CAL,"7/15/2016, Pacific Time",948452,945941,715402,-233065
CAL,"7/16/2016, Pacific Time",862535,862818,635760,-226788
CAL,"7/17/2016, Pacific Time",809334,820774,603144,-206205
CAL,"7/18/2016, Pacific Time",885493,887432,667956,-217511
CAL,"7/19/2016, Pacific Time",913676,910695,692374,-221316
CAL,"7/20/2016, Pacific Time",952074,949069,738129,-213960
CAL,"7/21/2016, Pacific Time",976200,969898,794870,-184792
CAL,"7/22/2016, Pacific Time",1015645,1007443,807058,-208606
CAL,"7/23/2016, Pacific Time",974365,982758,754304,-220080
CAL,"7/24/2016, Pacific Time",952624,943247,765847,-186790
