"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"1/1/2017, Pacific Time",659836,653350,471995,-187851
CAL,"1/2/2017, Pacific Time",699639,721886,497181,-202467
CAL,"1/3/2017, Pacific Time",754108,752101,592312,-161800
CAL,"1/4/2017, Pacific Time",744807,738535,582747,-162061
CAL,"1/5/2017, Pacific Time",738782,745566,633649,-105134
CAL,"1/6/2017, Pacific Time",745289,730155,597960,-147334
CAL,"1/7/2017, Pacific Time",706168,687146,532725,-173441
CAL,"1/8/2017, Pacific Time",665730,652624,502332,-163402
CAL,"1/9/2017, Pacific Time",734685,722903,556757,-177928
CAL,"1/10/2017, Pacific Time",756884,735442,598588,-158301
CAL,"1/11/2017, Pacific Time",741657,735765,592514,-149136
CAL,"1/12/2017, Pacific Time",765327,747576,613856,-151472
CAL,"1/13/2017, Pacific Time",755976,729712,601620,-154354
CAL,"1/14/2017, Pacific Time",694481,673176,541466,-153014
CAL,"1/15/2017, Pacific Time",685299,653618,528571,-156727
CAL,"1/16/2017, Pacific Time",738559,712904,579649,-158871
CAL,"1/17/2017, Pacific Time",767123,742622,592794,-174289
CAL,"1/18/2017, Pacific Time",782086,758500,603405,-178684
CAL,"1/19/2017, Pacific Time",758782,759112,610292,-148484
CAL,"1/20/2017, Pacific Time",778948,756295,603150,-175794
CAL,"1/21/2017, Pacific Time",701390,689003,554025,-147363
CAL,"1/22/2017, Pacific Time",718678,673356,546207,-172472
CAL,"1/23/2017, Pacific Time",771655,767666,604771,-166878
CAL,"1/24/2017, Pacific Time",779805,771603,617221,-162585
CAL,"1/25/2017, Pacific Time",779253,769576,632922,-146330
CAL,"1/26/2017, Pacific Time",774659,775223,618244,-156404
CAL,"1/27/2017, Pacific Time",760988,740923,609889,-151100
CAL,"1/28/2017, Pacific Time",699315,687423,554204,-145110
CAL,"1/29/2017, Pacific Time",681517,662034,533261,-148255
CAL,"1/30/2017, Pacific Time",743535,729905,571190,-172340
CAL,"1/31/2017, Pacific Time",746531,739387,581779,-164752
CAL,"2/1/2017, Pacific Time",752139,739481,586174,-165959
CAL,"2/2/2017, Pacific Time",748403,740245,594743,-153655
CAL,"2/3/2017, Pacific Time",739611,736440,585188,-154414
CAL,"2/4/2017, Pacific Time",671902,678329,532921,-138981
CAL,"2/5/2017, Pacific Time",676394,650429,507756,-168637
CAL,"2/6/2017, Pacific Time",755114,732172,566726,-188383
CAL,"2/7/2017, Pacific Time",752596,738825,592592,-160002
CAL,"2/8/2017, Pacific Time",749052,735421,573326,-175721
CAL,"2/9/2017, Pacific Time",747083,749897,548973,-198184
CAL,"2/10/2017, Pacific Time",737284,730398,523248,-214035
CAL,"2/11/2017, Pacific Time",671478,659217,468370,-203109
CAL,"2/12/2017, Pacific Time",647969,639529,479914,-168060
CAL,"2/13/2017, Pacific Time",720449,719455,544935,-175510
CAL,"2/14/2017, Pacific Time",710990,725647,546513,-164476
CAL,"2/15/2017, Pacific Time",716596,726315,551777,-164810
CAL,"2/16/2017, Pacific Time",713083,729981,539657,-173419
CAL,"2/17/2017, Pacific Time",734137,733175,534096,-200038
CAL,"2/18/2017, Pacific Time",653173,661721,476022,-177149
CAL,"2/19/2017, Pacific Time",633328,660186,491169,-142155
CAL,"2/20/2017, Pacific Time",695363,689272,522227,-173133
CAL,"2/21/2017, Pacific Time",710859,720204,523627,-187228
CAL,"2/22/2017, Pacific Time",709458,713335,568644,-140813
CAL,"2/23/2017, Pacific Time",723194,713146,572097,-151095
CAL,"2/24/2017, Pacific Time",720555,720690,559545,-161002
CAL,"2/25/2017, Pacific Time",669029,673833,505444,-163585
CAL,"2/26/2017, Pacific Time",648217,648719,493898,-154320
CAL,"2/27/2017, Pacific Time",730179,718153,543604,-186572
CAL,"2/28/2017, Pacific Time",710889,717005,559918,-150974
CAL,"3/1/2017, Pacific Time",711827,716568,531963,-179859
CAL,"3/2/2017, Pacific Time",705075,699989,532979,-172089
CAL,"3/3/2017, Pacific Time",695146,694280,515519,-179630
CAL,"3/4/2017, Pacific Time",638589,638465,481739,-156851
CAL,"3/5/2017, Pacific Time",634996,633637,484388,-150603
CAL,"3/6/2017, Pacific Time",708774,701800,547135,-161634
CAL,"3/7/2017, Pacific Time",709830,706998,555364,-154461
CAL,"3/8/2017, Pacific Time",703248,705119,531409,-171834
CAL,"3/9/2017, Pacific Time",708947,712130,532803,-176144
CAL,"3/10/2017, Pacific Time",710741,705847,518177,-192557
CAL,"3/11/2017, Pacific Time",650137,641339,497874,-159639
CAL,"3/12/2017, Pacific Time",594251,603814,448202,-146028
CAL,"3/13/2017, Pacific Time",717189,724773,538874,-178316
CAL,"3/14/2017, Pacific Time",732988,738332,544647,-188341
CAL,"3/15/2017, Pacific Time",724973,727528,538258,-186716
CAL,"3/16/2017, Pacific Time",728083,722386,542691,-185390
CAL,"3/17/2017, Pacific Time",717268,718575,533836,-183436
CAL,"3/18/2017, Pacific Time",657359,645231,479567,-177788
CAL,"3/19/2017, Pacific Time",632559,620734,478982,-153575
CAL,"3/20/2017, Pacific Time",708151,695738,524612,-183530
CAL,"3/21/2017, Pacific Time",712779,705755,520647,-192123
CAL,"3/22/2017, Pacific Time",706348,708575,516764,-189577
CAL,"3/23/2017, Pacific Time",692306,700328,538076,-154189
CAL,"3/24/2017, Pacific Time",705595,697244,532790,-172802
CAL,"3/25/2017, Pacific Time",634852,636916,466009,-168843
CAL,"3/26/2017, Pacific Time",619344,622830,473177,-146191
CAL,"3/27/2017, Pacific Time",678546,690884,514512,-164043
CAL,"3/28/2017, Pacific Time",688258,698960,528257,-159982
CAL,"3/29/2017, Pacific Time",699553,714484,523545,-176016
CAL,"3/30/2017, Pacific Time",687469,694010,519460,-168008
CAL,"3/31/2017, Pacific Time",676500,684312,520361,-156144
CAL,"4/1/2017, Pacific Time",629529,632945,456043,-173489
CAL,"4/2/2017, Pacific Time",615065,621873,461809,-153256
CAL,"4/3/2017, Pacific Time",682034,698543,540422,-141629
CAL,"4/4/2017, Pacific Time",697338,696108,525071,-172275
CAL,"4/5/2017, Pacific Time",720074,706231,524176,-185886
CAL,"4/6/2017, Pacific Time",722285,713291,518298,-203990
CAL,"4/7/2017, Pacific Time",699962,703550,526240,-173716
CAL,"4/8/2017, Pacific Time",637303,631654,488285,-149021
CAL,"4/9/2017, Pacific Time",605744,604512,460311,-145447
CAL,"4/10/2017, Pacific Time",683964,686861,516491,-167477
CAL,"4/11/2017, Pacific Time",707786,695787,538796,-168991
CAL,"4/12/2017, Pacific Time",707284,692320,547597,-159686
CAL,"4/13/2017, Pacific Time",701522,699148,544452,-157067
CAL,"4/14/2017, Pacific Time",673221,686911,518174,-155045
CAL,"4/15/2017, Pacific Time",637691,636298,467879,-169817
CAL,"4/16/2017, Pacific Time",626866,613203,457105,-169764
CAL,"4/17/2017, Pacific Time",718923,702246,519584,-199338
CAL,"4/18/2017, Pacific Time",726870,703810,522243,-204624
CAL,"4/19/2017, Pacific Time",718028,702151,535196,-182834
CAL,"4/20/2017, Pacific Time",716793,724762,533643,-183155
CAL,"4/21/2017, Pacific Time",739156,747566,550313,-188848
CAL,"4/22/2017, Pacific Time",704260,696435,517426,-186834
